warehouse,product,stock_level,monthly_sales,reorder_threshold,sku,supplier,lead_time_days,warehouse_capacity,inventory_value,days_of_inventory_remaining
Mansoura,Standard Filing Cabinet,101,108,37,SKU-00023,Alexandria Trading House,11,40000,12752.26,28.1
Mansoura,Industrial Paper Shredder,598,371,82,SKU-00024,Mediterranean Sourcing Ltd.,11,40000,29726.58,48.4
Mansoura,Adjustable Power Bank,297,245,70,SKU-00025,Delta Industrial Supply,11,40000,14354.01,36.4
Mansoura,Standard Printer,454,314,58,SKU-00026,Mediterranean Sourcing Ltd.,13,40000,20175.76,43.4
Mansoura,Smart Paper Shredder,27,121,35,SKU-00027,Red Sea Import Group,16,40000,3603.69,6.7
Mansoura,Ergonomic Coffee Maker,405,323,57,SKU-00028,Mediterranean Sourcing Ltd.,11,40000,11757.15,37.6
Mansoura,Rechargeable Backpack,299,288,47,SKU-00029,Delta Industrial Supply,10,40000,4649.45,31.1
Mansoura,Wireless Whiteboard,217,279,61,SKU-00030,Sinai Logistics Supply,16,40000,26133.31,23.3
Mansoura,Foldable Whiteboard,234,365,62,SKU-00031,Red Sea Import Group,14,40000,30782.7,19.2
Mansoura,Standard Speaker,40,31,9,SKU-00032,Nile Manufacturing Co.,8,40000,1690.8,38.7
Mansoura,Premium Power Bank,189,257,89,SKU-00033,Cairo Wholesale Partners,5,40000,27614.79,22.1
Mansoura,Stainless Steel Backpack,204,194,34,SKU-00034,Cairo Wholesale Partners,6,40000,28606.92,31.5
Mansoura,Heavy-Duty Backpack,292,192,59,SKU-00035,Cairo Wholesale Partners,4,40000,6596.28,45.6
Mansoura,Smart Filing Cabinet,174,317,71,SKU-00036,Mediterranean Sourcing Ltd.,14,40000,4795.44,16.5
Mansoura,Ergonomic Office Chair,248,315,94,SKU-00037,Nile Manufacturing Co.,7,40000,14887.44,23.6
Mansoura,Compact Backpack,231,311,55,SKU-00038,Red Sea Import Group,13,40000,23672.88,22.3
Mansoura,Foldable Desk Lamp,240,203,38,SKU-00039,Delta Industrial Supply,10,40000,1456.8,35.5
Mansoura,Adjustable Whiteboard,423,343,92,SKU-00040,Red Sea Import Group,13,40000,39660.48,37.0
Mansoura,Standard Desk Lamp,129,86,22,SKU-00041,Cairo Wholesale Partners,6,40000,16655.19,45.0
Mansoura,Ergonomic Power Bank,544,344,95,SKU-00042,Red Sea Import Group,16,40000,40430.08,47.4
Mansoura,Foldable Power Bank,247,158,35,SKU-00043,Red Sea Import Group,15,40000,4107.61,46.9
Mansoura,Ergonomic Whiteboard,118,72,24,SKU-00044,Upper Egypt Producers,10,40000,3840.9,49.2
Mansoura,Industrial Office Chair,298,204,41,SKU-00045,Sinai Logistics Supply,15,40000,28089.48,43.8
Mansoura,Adjustable Coffee Maker,108,199,41,SKU-00046,Nile Manufacturing Co.,7,40000,10199.52,16.3
Mansoura,Portable Air Purifier,254,301,85,SKU-00047,Red Sea Import Group,15,40000,6629.4,25.3
Mansoura,Smart Speaker,370,314,66,SKU-00048,Red Sea Import Group,13,40000,35372.0,35.4
Mansoura,Wireless Office Chair,346,250,39,SKU-00049,Red Sea Import Group,14,40000,17158.14,41.5
Mansoura,Multi-Purpose Printer,43,304,72,SKU-00050,Mediterranean Sourcing Ltd.,12,40000,856.56,4.2
Mansoura,Rechargeable Keyboard,266,251,79,SKU-00051,Mediterranean Sourcing Ltd.,12,40000,22753.64,31.8
Mansoura,Wireless Monitor Stand,225,257,66,SKU-00052,Red Sea Import Group,15,40000,23447.25,26.3
Mansoura,Industrial Storage Box,289,289,85,SKU-00053,Alexandria Trading House,9,40000,12444.34,30.0
Mansoura,Heavy-Duty Extension Cord,195,213,40,SKU-00054,Nile Manufacturing Co.,7,40000,22916.4,27.5
Mansoura,Industrial Filing Cabinet,16,143,31,SKU-00055,Delta Industrial Supply,12,40000,228.8,3.4
Mansoura,Heavy-Duty Headset,364,221,36,SKU-00056,Sinai Logistics Supply,14,40000,16041.48,49.4
Mansoura,Heavy-Duty Mouse,188,194,45,SKU-00057,Alexandria Trading House,8,40000,13069.76,29.1
Mansoura,Portable Filing Cabinet,98,66,20,SKU-00058,Red Sea Import Group,15,40000,7351.96,44.5
Mansoura,Multi-Purpose Desk Lamp,169,123,32,SKU-00059,Sinai Logistics Supply,15,40000,15990.78,41.2
Mansoura,Eco Keyboard,373,292,67,SKU-00060,Sinai Logistics Supply,14,40000,18802.93,38.3
Mansoura,Compact Headset,383,300,88,SKU-00061,Nile Manufacturing Co.,6,40000,10923.16,38.3
Mansoura,Rechargeable Whiteboard,394,253,43,SKU-00062,Sinai Logistics Supply,16,40000,57263.96,46.7
Mansoura,Industrial Router,113,128,29,SKU-00063,Delta Industrial Supply,9,40000,2460.01,26.5
Mansoura,Heavy-Duty Water Bottle,13,99,33,SKU-00064,Delta Industrial Supply,11,40000,75.79,3.9
Mansoura,Smart Air Purifier,258,260,83,SKU-00065,Nile Manufacturing Co.,7,40000,21604.92,29.8
Mansoura,Adjustable Air Purifier,14,329,60,SKU-00066,Mediterranean Sourcing Ltd.,11,40000,380.52,1.3
Mansoura,Rechargeable Router,613,360,113,SKU-00067,Alexandria Trading House,10,40000,61821.05,51.1
Mansoura,Stainless Steel Desk Lamp,77,55,9,SKU-00068,Cairo Wholesale Partners,4,40000,7725.41,42.0
Mansoura,Rechargeable Water Bottle,65,47,10,SKU-00069,Upper Egypt Producers,10,40000,5066.1,41.5
Mansoura,Compact Extension Cord,16,121,31,SKU-00070,Delta Industrial Supply,10,40000,861.6,4.0
Mansoura,Wireless Power Bank,65,50,17,SKU-00071,Cairo Wholesale Partners,4,40000,6820.45,39.0
Mansoura,Industrial Speaker,102,145,23,SKU-00072,Alexandria Trading House,11,40000,9268.74,21.1
Mansoura,Portable Paper Shredder,306,209,36,SKU-00073,Sinai Logistics Supply,16,40000,13892.4,43.9
Mansoura,Multi-Purpose Headset,280,177,28,SKU-00074,Alexandria Trading House,9,40000,6039.6,47.5
Mansoura,Compact Water Bottle,329,377,85,SKU-00075,Upper Egypt Producers,13,40000,7955.22,26.2
